state,lon,lat,communityname,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,PersPerFam,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,PctHousOccup,PctHousOwnOcc,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,ViolentCrimesPerPop
Alabama,-86.843613,34.17482,Cullman,0.01,0.3,0.168,0.99,0.02,0.01,0.38,0.37,0.27,0.74,0.01,0.16,0.24,0.24,0.41,0.73,0.53,0.49,0.25,0.24,0.291,0.12,0.29,0.02,0.04,0.02,0.45,0.62,0.61,0.26,0.24,0.27,0.45,0.37,0.5,0.42,0.54,0.22,0.54,0.28,0.63,0.75,0.6,0.35,0.54,0.02,0.05,0.01,0.326,0.81,0.87,0.74,0.02,0.01,0.02,0.01,0.98,0.02,0.06,0.27,0.33,0.23,0.53,0.05,0.46,0.8,0.5,0.38,0.54,0.37,0.07,0.1,0.12,0.58,0.25,0.28,0.042820513,0.82,0.54,0.72,0.76,0.04,0.07,0.16
Alabama,-85.495163,32.593357,Auburn,0.04,0.37,0.32,0.7,0.043512195,0.02,0.482,0.482,0.319,0.14,0.05,0.02,0.77,0.57,0.47,0.13,0.11,0.16,0.17,0.19,0.16,0.07,0.21,0.16,0.22,0.11,0.295,0.18,0.18,0.322378465,0.42,0.23,0.19,0.431,0.25,0.67,0.492439024,0.421,0.52952381,0.38,0.53,0.59,0.54,0.68,0.69,0.03,0.69,0.01,0.326,0.91,0.86,0.8,0.075619048,0.058,0.043684211,0.04025641,0.9,0.05,0.07,0.25,0.41,0.22,0.538157895,0.14,0.71,0.66,0.21,0.24,0.77,0.27,0.1,0.16,0.21,0.483,0.16,0.24,0.12,0.49,0.565853659,0.637,0.67602381,0.09,0.09,0.15
Alabama,-86.9119,33.4859,Fairfield,0.08,0.45,0.168,0.765,0.01,0.12,0.43,0.41,0.27,0.57,0.02,0.16,0.38,0.1,0.16,0.71,0.44,0.61,0.16,0.23,0.23,0.27,0.286421984,0.02,0.16,0.02,0.54,0.39,0.5,0.26,0.56,0.33,0.27,0.66,0.45,0.35,0.58,0.42,0.66,0.52,0.31,0.38,0.24,0.81,0.83,0.01,0.39,0.01,0.326,0.24,0.2,0.63,0.172,0.01,0.01,0.02,0.95,0.02,0.31,0.45,0.47,0.44,0.56,0.14,0.5,0.66,0.55,0.44,0.38,0.3,0.23,0.07,0.15,0.49,0.39,0.49,0.01,0.93,0.69,0.88,0.82,0.01,0.09,0.8
Alabama,-86.601791,34.738228,Huntsvillec,0.24,0.37,0.48,0.58,0.13,0.02,0.44,0.55,0.38,0.31,0.25,0.34,0.67,0.33,0.51,0.32,0.21,0.58,0.38,0.45,0.22,0.19,0.35,0.52,0.5,0.16,0.3,0.22,0.3,0.54,0.33,0.57,0.43,0.46,0.23,0.66,0.52,0.45,0.57,0.42,0.58,0.67,0.53,0.52,0.54,0.09,0.28,0.01,0.41,0.45,0.53,0.52,0.11,0.11,0.12,0.1,0.92,0.04,0.16,0.38,0.45,0.32,0.54,0.12,0.44,0.72,0.51,0.25,0.6,0.28,0.14,0.16,0.26,0.31,0.15,0.22,0.11,0.54,0.51,0.6,0.49,0.042641907,0.08,0.55
Alabama,-86.902298,32.31823,Sheffield,0.1,0.31,0.46,0.63,0.01,0.12,0.37,0.41,0.29,0.68,0.02,0.14,0.35,0.26,0.26,0.71,0.54,0.61,0.19,0.22,0.17,0.2,0.34,0.07,0.4,0.02,0.55,0.52,0.6,0.2,0.48,0.31,0.5,0.39,0.68,0.28,0.56,0.29,0.53,0.38,0.39,0.54,0.37,0.51,0.54,0.01,0.5,0.01,0.326,0.98,0.394495692,0.81,0.06,0.04,0.03,0.03,0.98,0.03,0.19,0.34,0.3,0.43,0.56,0.1,0.48,0.67,0.59,0.58,0.31,0.52,0.27,0.05,0.09,0.57,0.21,0.42,0.01,0.81,0.74,0.82,0.84,0.02,0.13,0.1
Alabama,-87.698641,34.765089,Montgomery,0.28,0.45,0.83,0.34,0.04,0.01,0.48,0.53,0.36,0.37,0.3,0.24,0.56,0.22,0.36,0.45,0.4,0.48,0.26,0.39,0.18,0.2,0.16,0.2,0.4,0.3,0.48,0.3,0.41,0.39,0.44,0.49,0.21,0.48,0.35,0.45,0.58,0.45,0.64,0.54,0.38,0.46,0.35,0.67,0.64,0.026666667,0.64,0.01,0.29,0.39,0.42,0.45,0.03,0.04,0.04,0.04,0.95,0.03,0.29,0.45,0.47,0.45,0.51,0.21,0.43,0.65,0.51,0.38,0.58,0.33,0.25,0.11,0.23,0.4,0.35,0.37,0.04,0.75,0.5,0.67,0.63,0.042641907,0.12,0.35
Alabama,-85.000763,32.470978,Phenix City,0.02,0.41,0.78,0.38,0.02,0.01,0.44,0.48,0.33,0.46,0.04,0.15,0.39,0.13,0.18,0.57,0.51,0.51,0.16,0.24,0.15,0.2,0.06,0.38,0.38,0.05,0.59,0.64,0.72,0.15,0.58,0.35,0.63,0.37,0.67,0.24,0.7,0.39,0.72,0.49,0.28,0.4,0.41,0.52,0.51,0.04,0.62,0.01,0.15,0.11,0.14,0.58,0.01,0.01,0.01,0.03,0.96,0.04,0.25,0.43,0.43,0.46,0.44,0.22,0.55,0.59,0.45,0.41,0.52,0.53,0.28,0.06,0.12,0.5,0.24,0.36,0.02,0.52,0.64,0.74,0.65,0.06,0.1,0.34
Alabama,-85.7197,34.4443,Fort Payne,0.06,0.35,0.09,0.91,0.02,0.01,0.4,0.43,0.27,0.52,0.1,0.15,0.4,0.41,0.23,0.61,0.35,0.35,0.2,0.19,0.16,0.15,0.23,0.13,0.13,0.01,0.37,0.62,0.72,0.16,0.19,0.47,0.392,0.15,0.385,0.22,0.58,0.18,0.59,0.37,0.66,0.75,0.63,0.69,0.77,0.02,0.13,0.01,0.24,0.362,0.394495692,0.84,0.01,0.04,0.03,0.02,0.99,0.02,0.11,0.37,0.37,0.37,0.64,0.09,0.45,0.64,0.64,0.59,0.58,0.64,0.39,0.06,0.12,0.34,0.3,0.44,0.01,0.78,0.62,0.83,0.77,0.042641907,0.02,0.03
Alabama,-87.565155,33.189281,Northport,0.01,0.44,0.44,0.64,0.05,0.12,0.47,0.51,0.35,0.38,0.03,0.26,0.5,0.37,0.38,0.46,0.41,0.52,0.26,0.31,0.16,0.25,0.18,0.266842672,0.72,0.03,0.45,0.36,0.46,0.37,0.37,0.44,0.28,0.41785323,0.35,0.49,0.39,0.38,0.51,0.49,0.55,0.48,0.47,0.52,0.56,0.02,0.45,0.01,0.3,0.55,0.45,0.67,0.02,0.04,0.03,0.04,0.96,0.02,0.2,0.45,0.49,0.4,0.53,0.12,0.42,0.86,0.52,0.62,0.71,0.23,0.28,0.13,0.22,0.46,0.23,0.39,0.03,0.81,0.53,0.7,0.7,0.03,0.14,0.35
Alabama,-85.8552,31.3152,Enterprise,0.02,0.43,0.41,0.64,0.08,0.04,0.46,0.51,0.33,0.36,0.01,0.24,0.57,0.41,0.42,0.43,0.37,0.58,0.25,0.29,0.17,0.1,0.16,0.35,0.31,0.03,0.39,0.35,0.39,0.37,0.32,0.5,0.41,0.4,0.46,0.47,0.44,0.29,0.49,0.45,0.6,0.52,0.63,0.38,0.43,0.01,0.22,0.01,0.54,0.49,0.45,0.45,0.12,0.09,0.08,0.07,0.91,0.03,0.18,0.46,0.46,0.47,0.55,0.11,0.34,0.6,0.55,0.42,0.71,0.58,0.3,0.11,0.21,0.33,0.37,0.31,0.09,0.51,0.46,0.4,0.29,0.09,0.05,0.41
Alabama,-86.8025,33.5207,Birmingham,0.41,0.37,0.168,0.659880952,0.03,0.01,0.41,0.5,0.33,0.48,0.42,0.13,0.41,0.17,0.21,0.58,0.52,0.47,0.17,0.33,0.19,0.16,0.22,0.31,0.49,0.59,0.66,0.36,0.53,0.25,0.62,0.33,0.26,0.57,0.45,0.33,0.75,0.56,0.76,0.51,0.16,0.35,0.19,0.65,0.6,0.026666667,0.73,0.01,0.67,0.69,0.7,0.67,0.06,0.05,0.05,0.04,0.95,0.02,0.27,0.38,0.42,0.37,0.43,0.18,0.61,0.57,0.42,0.54,0.42,0.37,0.34,0.05,0.16,0.48,0.4,0.47,0.03,0.9,0.64,0.86,0.82,0.042641907,0.15,0.222
Alabama,-85.831635,33.659824,Anniston,0.03,0.34,0.86,0.3,0.04,0.01,0.41,0.42,0.27,0.59,0.04,0.12,0.32,0.19,0.28,0.67,0.52,0.57,0.21,0.35,0.15,0.26,0.18,0.266842672,0.33,0.06,0.65,0.48,0.58,0.28,0.79,0.22,0.44,0.43,0.54,0.41,0.69,0.36,0.67,0.42,0.24,0.38,0.27,0.49,0.49,0.04,0.55,0.01,0.22,0.28,0.45,0.4,0.02,0.02,0.03,0.03,0.95,0.02,0.22,0.36,0.34,0.41,0.5,0.13,0.51,0.56,0.52,0.6,0.4,0.55,0.33,0.07,0.13,0.41,0.38,0.47,0.04,0.77,0.59,0.7,0.64,0.06,0.11,0.222
